OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,ISO Dates
ORD200014,"Monday, March 27, 2023",C98474,Tablet,2,393.33,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,27-03-2023
ORD200020,"Monday, May 8, 2023",C54829,Chair,5,62.51,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,08-05-2023
ORD200041,"Tuesday, December 5, 2023",C20212,Monitor,3,611.45,657 Main St,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35,05-12-2023
ORD200046,"Wednesday, June 26, 2024",C43212,Monitor,4,550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56,26-06-2024
ORD200070,"Friday, May 26, 2023",C25123,Desk,1,629.21,384 Main St,Gift Card,Pending,TRK27812282,2,FREESHIP,Instagram,629.21,26-05-2023
ORD200074,"Saturday, June 24, 2023",C25382,Phone,5,90.87,622 Main St,Cash,Pending,TRK64691287,5,NoCoupon,Instagram,454.35,24-06-2023
ORD200110,"Sunday, April 21, 2024",C74562,Tablet,1,220.77,388 Main St,Gift Card,Pending,TRK32062079,5,FREESHIP,Instagram,220.77,21-04-2024
ORD200131,"Sunday, January 8, 2023",C72862,Tablet,1,84.8,606 Main St,Gift Card,Pending,TRK51648833,5,NoCoupon,Instagram,84.8,08-01-2023
ORD200154,"Thursday, July 20, 2023",C73587,Phone,4,408.21,727 Main St,Credit Card,Pending,TRK13955543,9,NoCoupon,Instagram,1632.84,20-07-2023
ORD200158,"Thursday, May 16, 2024",C23334,Tablet,1,331.06,737 Main St,Credit Card,Pending,TRK46335144,5,WINTER15,Instagram,331.06,16-05-2024
ORD200223,"Wednesday, September 11, 2024",C22783,Phone,4,692.91,673 Main St,Credit Card,Pending,TRK55009149,9,SAVE10,Instagram,2771.64,11-09-2024
ORD200231,"Sunday, November 5, 2023",C30955,Phone,4,41.9,327 Main St,Gift Card,Pending,TRK46898848,9,FREESHIP,Instagram,167.6,05-11-2023
ORD200240,"Wednesday, July 12, 2023",C14983,Tablet,1,17.24,255 Main St,Online,Pending,TRK93444157,2,FREESHIP,Instagram,17.24,12-07-2023
ORD200272,"Tuesday, September 19, 2023",C29758,Chair,2,399.32,119 Main St,Online,Pending,TRK12990043,6,WINTER15,Instagram,798.64,19-09-2023
ORD200302,"Tuesday, May 16, 2023",C29432,Chair,3,468.74,121 Main St,Cash,Pending,TRK44142517,4,FREESHIP,Instagram,1406.22,16-05-2023
ORD200305,"Saturday, November 25, 2023",C63822,Laptop,4,126.89,235 Main St,Cash,Pending,TRK59353216,9,FREESHIP,Instagram,507.56,25-11-2023
ORD200330,"Sunday, June 2, 2024",C38068,Desk,5,260.53,532 Main St,Gift Card,Pending,TRK54059198,5,SAVE10,Instagram,1302.65,02-06-2024
ORD200336,"Friday, December 29, 2023",C88174,Laptop,1,18.2,441 Main St,Debit Card,Pending,TRK10143345,4,SAVE10,Instagram,18.2,29-12-2023
ORD200339,"Wednesday, April 10, 2024",C84563,Printer,2,236.33,398 Main St,Online,Pending,TRK62422797,3,SAVE10,Instagram,472.66,10-04-2024
